Trial,Note,TargetWordAudioFile,TargetWordOriginalFile,TargetSegment,DistractorSegment,Pair,UniquePairIndex,Position,TargetWordImageFile,DistractorWordImageFile,TrialType,Condition,CarrierType,Target-Arabic,Distractor-Arabic,TargetDefinition,Distractor-Definition,TargetDisplay,DistractorDisplay,Target-Freq,Distractor-Freq
109,,109_non-creaky.wav,wakæːd-b.wav,k,none,k-none,none,Medial,131.png,36.png,test,control,non-creaky,وَكاد,وَقاد,almost;hardly;no_sooner,lead;guide,وَكاد,وَقاد,7904,5898
110,,110_non-creaky.wav,wakiːl-b.wav,k,none,k-none,none,Medial,135.png,40.png,test,control,non-creaky,وَكيل,وَقيل,representative;agent,be_said,وَكيل,وَقيل,3581,5767
111,,111_non-creaky.wav,kawaː-b.wav,k,none,k-none,none,Initial,137.png,42.png,test,control,non-creaky,كَوى,قَوى,apertures;skylights,power;forces,كَوى,قَوى,3129,51772
112,,112_non-creaky.wav,kalb-b.wav,k,none,k-none,none,Initial,139.png,44.png,test,control,non-creaky,كَلب,قَلب,dog,heart,كَلب,قَلب,21029,2704
113,,113_non-creaky.wav,takuːn-b.wav,t,none,t-none,none,Initial,141.png,46.png,test,control,non-creaky,تَكون,أكون,be,be,تَكون,أكون,5576,100374
114,,114_non-creaky.wav,tʊriːd-b.wav,t,none,t-none,none,Initial,142.png,47.png,test,control,non-creaky,تُريد,أُريد,want;desire;intend,want;desire;intend,تُريد,أُريد,17337,59771
115,,115_non-creaky.wav,taʕmal-b.wav,t,none,t-none,none,Initial,143.png,48.png,test,control,non-creaky,تَعمَل,أعمَل,work;function;act,work;function;act,تَعمَل,أعمَل,54990,1553
116,,116_non-creaky.wav,tarfʊdˤ-b.wav,t,none,t-none,none,Initial,145.png,50.png,test,control,non-creaky,تَرفُض,أرفُض,reject;refuse,reject;refuse,تَرفُض,أرفُض,26804,1387
117,,117_non-creaky.wav,tatˤlʊb-b.wav,t,none,t-none,none,Initial,146.png,51.png,test,control,non-creaky,تَطلُب,أطلُب,request,request,تَطلُب,أطلُب,19843,3103
118,,118_non-creaky.wav,tamæːm-b.wav,t,none,t-none,none,Initial,147.png,52.png,test,control,non-creaky,تَمام,أمام,exact;complete,front;forward,تَمام,أمام,2310,431358
119,,119_non-creaky.wav,tajːɑr-b.wav,t,none,t-none,none,Initial,148.png,53.png,test,control,non-creaky,تَيّار,أيّار,current;stream,May,تَيّار,أيّار,6249,73492
120,,120_non-creaky.wav,tʊdˤɑf-b.wav,t,none,t-none,none,Initial,149.png,54.png,test,control,non-creaky,تُضاف,أُضاف,be_added,add,تُضاف,أُضاف,4876,31214
121,,121_non-creaky.wav,tʊqiːm-b.wav,t,none,t-none,none,Initial,150.png,55.png,test,control,non-creaky,تُقيم,أُقيم,install;establish;erect,take_place;be_installed;be_established,تُقيم,أُقيم,13107,18543
